"PLAYER","WINDOW","POSITION","COUNTRY","FROM","TO","DESCRIPTION","PRICE","LEAGUE","SEASON"
"Egidio Arevalo Rios","Pre-Season","Midfielder","Uruguay","Tijuana","Palermo","Sold",3000000,"Serie A","12/13"
"Guido Pizarro","Mid-Season","Midfielder","Argentina","Lanus","Fiorentina","Sold",3000000,"Serie A","11/12"
"Senad Lulic","Pre-Season","Midfielder","Bosnia","Young Boys","Lazio","Sold",3000000,"Serie A","11/12"
"Sebastian Giovinco","Pre-Season","Midfielder","Italy","Juventus","Parma","Sold",3000000,"Serie A","11/12"
"Didac Vila","Mid-Season","Defender","Spain","Espanyol","AC Milan","Sold",3000000,"Serie A","10/11"
"Alejandro Gomez","Pre-Season","Midfielder","Argentina","San Lorenzo","Catania","Sold",3000000,"Serie A","10/11"
"Alessio Cerci","Pre-Season","Midfielder","Italy","Roma","Fiorentina","Sold",3000000,"Serie A","10/11"
"Mariano Ferreira","Pre-Season","Defender","Brazil","Bordeaux","Sevilla","Sold",3000000,"La Liga","15/16"
"Roberto","Pre-Season","Goalkeeper","Spain","Olympiacos","Espanyol","Sold",3000000,"La Liga","16/17"
"Javi Fuego","Pre-Season","Midfielder","Spain","Valencia","Espanyol","Sold",3000000,"La Liga","16/17"
"Alexandre Pato","Pre-Season","Attacker","Brazil","Corinthians","Villarreal","Sold",3000000,"La Liga","16/17"
"Miguel Angel Moya","Pre-Season","Goalkeeper","Spain","Getafe","Atletico Madrid","Sold",3000000,"La Liga","14/15"
"Martin Odegaard","Mid-Season","Midfielder","Norway","Stromsgodset","Real Madrid","Sold",3000000,"La Liga","14/15"
"Esteban Granero","Pre-Season","Midfielder","Spain","QPR","Real Sociedad","Sold",3000000,"La Liga","14/15"
"Aleix Vidal","Pre-Season","Midfielder","Spain","Almeria","Sevilla","Sold",3000000,"La Liga","14/15"
"Haris Seferovic","Pre-Season","Attacker","Switzerland","Fiorentina","Real Sociedad","Sold",3000000,"La Liga","13/14"
"Vitolo","Pre-Season","Attacker","Spain","Las Palmas","Sevilla","Sold",3000000,"La Liga","13/14"
"Helder Postiga","Pre-Season","Attacker","Portugal","Zaragoza","Valencia","Sold",3000000,"La Liga","13/14"
"Alberto Botia","Pre-Season","Defender","Spain","Sporting Gijon","Sevilla","Sold",3000000,"La Liga","12/13"
"Gabi","Pre-Season","Midfielder","Spain","Real Zaragoza","Atletico Madrid","Sold",3000000,"La Liga","11/12"
"Pablo Sarabia","Pre-Season","Midfielder","Spain","Real Madrid","Getafe","Sold",3000000,"La Liga","11/12"
"Martin Demichelis","Pre-Season","Defender","Argentina","Bayern Munich","Malaga","Sold",3000000,"La Liga","11/12"
"Baba Diawara","Mid-Season","Attacker","Senegal","Maritimo","Sevilla","Sold",3000000,"La Liga","11/12"
"Martin Caceres","Pre-Season","Defender","Uruguay","Barcelona","Sevilla","Sold",3000000,"La Liga","11/12"
"Hernan Bernardello","Pre-Season",NA,NA,"Newells Old Boys","Almeria","Sold",3000000,"La Liga","09/10"
"Daniel Parejo","Pre-Season",NA,NA,"Real Madrid","Getafe","Sold",3000000,"La Liga","09/10"
"Sergio Snchez","Pre-Season",NA,NA,"Espanyol","Sevilla","Sold",3000000,"La Liga","09/10"
"Gregory Coupet","Pre-Season",NA,NA,"Lyon","Atletico Madrid","Sold",3000000,"La Liga","08/09"
"DeAndre Yedlin","Pre-Season","Defender","USA","Seattle Sounders","Tottenham","Sold",3000000,"EPL","14/15"
"Johann Gudmundsdon","Pre-Season","Midfielder","Iceland","Charlton","Burnley","Sold",3000000,"EPL","16/17"
"Toni Martinez","Pre-Season","Attacker","Spain","Valencia","West Ham","Sold",3000000,"EPL","16/17"
"Enes Unal","Pre-Season","Attacker","Turkey","Bursaspor","Manchester City","Sold",3000000,"EPL","15/16"
"Ivo Pinto","Mid-Season",NA,"Portugal","Dinamo Zagreb","Norwich","Sold",3000000,"EPL","15/16"
"Aleksandar Tonev","Pre-Season","Midfielder","Bulgaria","Lech Poznan","Aston Villa","Sold",3000000,"EPL","13/14"
"Peter Odemwingie","Pre-Season","Attacker","Nigeria","West Bromwich","Cardiff","Sold",3000000,"EPL","13/14"
"Charis Mavrias","Pre-Season","Midfielder","Greece","Panathinaikos","Sunderland","Sold",3000000,"EPL","13/14"
"Oussama Assaidi","Pre-Season","Attacker","Morocco","Heerenveen","Liverpool","Sold",3000000,"EPL","12/13"
"Massadio Haidara","Mid-Season",NA,"France","Nancy","Newcastle","Sold",3000000,"EPL","12/13"
"Alou Diarra","Pre-Season","Midfielder","France","Marseille","West Ham","Sold",3000000,"EPL","12/13"
"Tim Ream","Mid-Season",NA,"USA","New York Red Bulls","Bolton","Sold",3000000,"EPL","11/12"
"Nedum Onuoha","Mid-Season",NA,"England","Manchester City","QPR","Sold",3000000,"EPL","11/12"
"Liam Ridgewell","Mid-Season",NA,"England","Birmingham","West Bromwich","Sold",3000000,"EPL","11/12"
"Lucas Castro","Pre-Season","Midfielder","Argentina","Racing Club","Catania","Sold",2900000,"Serie A","12/13"
"Fabio Grosso","Pre-Season",NA,NA,"Lyon","Juventus","Sold",2900000,"Serie A","09/10"
"Aleix Garcia","Pre-Season","Midfielder","Spain","Villarreal","Manchester City","Sold",2900000,"EPL","15/16"
"Martin Olsson","Pre-Season","Defender","Sweden","Blackburn","Norwich","Sold",2900000,"EPL","13/14"
"Jordi Amat","Pre-Season","Defender","Spain","Espanyol","Swansea","Sold",2900000,"EPL","13/14"
"Brek Shea","Mid-Season",NA,"USA","FC Dallas","Stoke","Sold",2900000,"EPL","12/13"
"Victor Moses","Mid-Season",NA,"England","Crystal Palace","Wigan Athletic","Sold",2900000,"EPL","09/10"
"Leandro Caruso","Pre-Season",NA,NA,"Godoy Cruz","Udinese","Sold",2850000,"Serie A","09/10"
"Nils Petersen","Pre-Season","Attacker","Germany","Energie Cottbus","Bayern Munich","Sold",2800000,"Bundesliga","11/12"
"Denni Avdic","Mid-Season","Attacker","Sweden","Elfsborg","Werder Bremen","Sold",2800000,"ROE","10/11"
"Sandro Wagner","Pre-Season","Attacker","Germany","Darmstatd","Hoffenheim","Sold",2800000,"Bundesliga","16/17"
"Rafal Wolski","Mid-Season","Midfielder","Poland","Legia Warsaw","Fiorentina","Sold",2800000,"Serie A","12/13"
"Ignacio David Fideleff","Pre-Season","Defender","Argentina","Newells Old Boys","Napoli","Sold",2800000,"Serie A","11/12"
"Sergio Sanchez","Pre-Season","Defender","Spain","Sevilla","Malaga","Sold",2800000,"La Liga","11/12"
"Adam Matthews","Pre-Season","Defender","Wales","Celtic","Sunderland","Sold",2800000,"EPL","15/16"
"Guillermo Varela","Pre-Season","Defender","Uruguay","Penarol","Manchester United","Sold",2800000,"EPL","13/14"
"Brad Jones","Pre-Season","Goalkeeper","Australia","Middlesbrough","Liverpool","Sold",2800000,"EPL","10/11"
"Niko Kranjcar","Pre-Season",NA,NA,"Portsmouth","Tottenham","Sold",2800000,"EPL","09/10"
"Milan Bisevac","Pre-Season","Defender","Serbia","PSG","Lyon","Sold",2750000,"ROE","12/13"
"Ciro Immobile","Pre-Season","Attacker","Italy","Juventus","Torino","Sold",2750000,"Serie A","13/14"
"Mikel San Jose","Pre-Season","Defender","Spain","Liverpool","Athletic Bilbao","Sold",2750000,"La Liga","10/11"
"Umut Bulut","Pre-Season","Attacker","Turkey","Toulouse","Galatasaray","Sold",2700000,"ROE","13/14"
"Marcello Trotta","Mid-Season","Attacker","Italy","Avellino","Sassuolo","Sold",2700000,"Serie A","15/16"
"Daniel Wass","Pre-Season","Midfielder","Denmark","Evian","Celta","Sold",2700000,"La Liga","15/16"
"Victor Ruiz","Pre-Season","Defender","Spain","Valencia","Villarreal","Sold",2700000,"La Liga","15/16"
"Jose Basanta","Pre-Season","Defender","Argentina","Monterrey","Fiorentina","Sold",2600000,"Serie A","14/15"
"Nolito","Pre-Season","Attacker","Spain","Benfica","Celta Vigo","Sold",2600000,"La Liga","13/14"
"Plasil","Pre-Season",NA,NA,"Monaco","Osasuna","Sold",2500000,"La Liga","07/08"
"M. Esposito","Pre-Season",NA,NA,"Cagliari","Roma","Sold",2500000,"Serie A","07/08"
"Renato Tapia","Mid-Season","Midfielder","Peru","Twente","Feyenoord","Sold",2500000,"ROE","15/16"
"Lukas Podolski","Pre-Season","Attacker","Germany","Arsenal","Galatasaray","Sold",2500000,"ROE","15/16"
"Francois Kamano","Pre-Season","Attacker","Guinea","Bastia","Bordeaux","Sold",2500000,"ROE","16/17"
"Wylan Cyprien","Pre-Season","Midfielder","France","Lens","Nice","Sold",2500000,"ROE","16/17"
"Richairo Zivkovic","Pre-Season","Attacker","Netherlands","Groningen","Ajax","Sold",2500000,"ROE","14/15"
"Virgil van Dijk","Pre-Season","Defender","Netherlands","Groningen","Celtic","Sold",2500000,"ROE","13/14"
"Teemu Pukki","Pre-Season","Attacker","Finland","Schalke","Celtic","Sold",2500000,"ROE","13/14"
"Saber Khelifa","Pre-Season","Attacker","Tunisia","Evian","Marseille","Sold",2500000,"ROE","13/14"
"Ola Toivonen","Mid-Season","Attacker","Sweden","PSV Eindhoven","Rennes","Sold",2500000,"ROE","13/14"
"Daniel Wass","Pre-Season","Defender","Denmark","Benfica","Evian","Sold",2500000,"ROE","12/13"
"Joseph Yobo","Pre-Season","Defender","Nigeria","Everton","Fenerbahce","Sold",2500000,"ROE","12/13"
"Jeremy Morel","Pre-Season","Defender","France","Lorient","Olymp. Marseille","Sold",2500000,"ROE","11/12"
"Dennis Diekmeier","Pre-Season","Defender","Germany","Nurnberg","Hamburg","Sold",2500000,"ROE","10/11"
"Kyriakos Papadopoulos","Pre-Season","Defender","Greece","Olympiakos","Schalke","Sold",2500000,"ROE","10/11"
"Sergio Escudero","Pre-Season","Defender","Spain","Real Murcia","Schalke","Sold",2500000,"ROE","10/11"
"Olof Mellberg","Pre-Season",NA,NA,"Juventus","Olympiakos","Sold",2500000,"ROE","09/10"
"Lewis Holtby","Pre-Season",NA,NA,"Alemannia Aachen","Shalke","Sold",2500000,"ROE","09/10"
"Frederik Sorensen","Pre-Season","Defender","Norway","Juventus","Koln","Sold",2500000,"Bundesliga","15/16"
"Emil Berggreen","Mid-Season","Attacker","Denmark","Braunschweig","Mainz","Sold",2500000,"Bundesliga","15/16"
"Sambou Yatabare","Mid-Season","Midfielder","Mali","Olympiacos","Wolfsburg","Sold",2500000,"Bundesliga","15/16"
"Alexander Esswein","Pre-Season","Midfielder","Germany","Augsburg","Hertha","Sold",2500000,"Bundesliga","16/17"
"Robert Bauer","Pre-Season","Defender","Germany","Ingolstadt","Werder Bremen","Sold",2500000,"Bundesliga","16/17"
"Sinan Kurt","Pre-Season","Attacker","Germany","Bor. Mgladbach","Bayern Munich","Sold",2500000,"Bundesliga","14/15"
"Pepe Reina","Pre-Season","Goalkeeper","Spain","Liverpool","Bayern Munich","Sold",2500000,"Bundesliga","14/15"
"Mats Daehli","Mid-Season","Midfielder","Norway","Cardiff","Freiburg","Sold",2500000,"Bundesliga","14/15"
"Julian Schieber","Pre-Season","Attacker","Germany","Bor. Dortmund","Hertha","Sold",2500000,"Bundesliga","14/15"
"Jannik Vestergaard","Mid-Season","Defender","Denmark","Hoffenheim","Werder Bremen","Sold",2500000,"Bundesliga","14/15"
"Sebastian Jung","Pre-Season","Defender","Germany","Eint. Frankfurt","Wolfsburg","Sold",2500000,"Bundesliga","14/15"
"Max Kruse","Pre-Season","Attacker","Germany","Freiburg","Bor. Mgladbach","Sold",2500000,"Bundesliga","13/14"
"Marcelo","Pre-Season","Defender","Brazil","PSV Eindhoven","Hannover","Sold",2500000,"Bundesliga","13/14"
"Makoto Hasebe","Pre-Season","Midfielder","Japan","Wolfsburg","Nuremberg","Sold",2500000,"Bundesliga","13/14"
"Daniel Caligiuri","Pre-Season","Midfielder","Germany","Freiburg","Wolfsburg","Sold",2500000,"Bundesliga","13/14"
"Afriyie Acquah","Mid-Season","Midfielder","Ghana","Palermo","Hoffenheim","Sold",2500000,"Bundesliga","12/13"
"Joseph Akpala","Pre-Season","Attacker","Nigeria","Club Brugge","Werder Bremen","Sold",2500000,"Bundesliga","12/13"
"Ali Adnan","Pre-Season","Defender","Iraq","Rizespor","Udinese","Sold",2500000,"Serie A","15/16"
"Samuel Bastien","Pre-Season","Midfielder","Belgium","Anderlecht","Chievo","Sold",2500000,"Serie A","16/17"
"Kevin Diks","Pre-Season","Defender","Netherlands","Vitesse","Fiorentina","Sold",2500000,"Serie A","16/17"
"Abdullahi Nura","Pre-Season","Defender","Nigeria","Spezia","Roma","Sold",2500000,"Serie A","16/17"
"Umar Sadiq","Pre-Season","Attacker","Nigeria","Spezia","Roma","Sold",2500000,"Serie A","16/17"
"Antonio Sanabria","Pre-Season","Attacker","Paraguay","Sassuolo","Roma","Sold",2500000,"Serie A","14/15"
"Joaquin","Pre-Season","Midfielder","Spain","Malaga","Fiorentina","Sold",2500000,"Serie A","13/14"
"Bosko Jankovic","Pre-Season","Midfielder","Serbia","Genoa","Hellas Verona","Sold",2500000,"Serie A","13/14"
"Bryan Perea","Pre-Season","Attacker","Colombia","Deportivo Cali","Lazio","Sold",2500000,"Serie A","13/14"
"Simone Zaza","Pre-Season","Attacker","Italy","Juventus","Sassuolo","Sold",2500000,"Serie A","13/14"
"Valerio Verre","Pre-Season","Midfielder","Italy","Roma","Udinese","Sold",2500000,"Serie A","13/14"
"Michele Canini","Pre-Season","Defender","Italy","Cagliari","Genoa","Sold",2500000,"Serie A","12/13"
"Ishak Belfodil","Pre-Season","Attacker","France","Lyon","Parma","Sold",2500000,"Serie A","12/13"
"Panagiotis Tachtsidis","Pre-Season","Midfielder","Greece","Genoa","Roma","Sold",2500000,"Serie A","12/13"
"Romulo","Pre-Season","Defender","Brazil","Cruzeiro","Fiorentina","Sold",2500000,"Serie A","11/12"
"Dario Dainelli","Mid-Season","Defender","Italy","Fiorentina","Genoa","Sold",2500000,"Serie A","09/10"
"Sergio Escudero","Pre-Season","Defender","Spain","Getafe","Sevilla","Sold",2500000,"La Liga","15/16"
"Jonas Martin","Pre-Season","Midfielder","France","Montpellier","Real Betis","Sold",2500000,"La Liga","16/17"
"Ever Banega","Pre-Season","Midfielder","Argentina","Valencia","Sevilla","Sold",2500000,"La Liga","14/15"
"Aritz Aduriz","Pre-Season","Attacker","Spain","Valencia","Athletic Bilbao","Sold",2500000,"La Liga","12/13"
"Jonathan Viera","Pre-Season","Midfielder","Spain","Las Palmas","Valencia","Sold",2500000,"La Liga","12/13"
"Sebastian Fernandez","Pre-Season","Attacker","Uruguay","Banfield","Malaga","Sold",2500000,"La Liga","10/11"
"Dejan Lekic","Pre-Season","Attacker","Serbia","Red Star","Osasuna","Sold",2500000,"La Liga","10/11"
"Joseba Llorente","Pre-Season","Attacker","Spain","Villarreal","Real Sociedad","Sold",2500000,"La Liga","10/11"
"Man Ortiz","Pre-Season",NA,NA,"Almeria","Getafe","Sold",2500000,"La Liga","09/10"
"Aly Cissokho","Pre-Season","Defender","France","Valencia","Aston Villa","Sold",2500000,"EPL","14/15"
"Sebastian Blanco","Pre-Season","Midfielder","Argentina","Metalist","West Bromwich","Sold",2500000,"EPL","14/15"
"Aaron Cresswell","Pre-Season","Defender","England","Ipswich","West Ham","Sold",2500000,"EPL","14/15"
"Jose Holebas","Pre-Season","Defender","Greece","Roma","Watford","Sold",2500000,"EPL","15/16"
"Kevin Theophile-Catherine","Pre-Season","Defender","France","Rennes","Cardiff","Sold",2500000,"EPL","13/14"
"Nathan Redmond","Pre-Season","Midfielder","England","Birmingham","Norwich","Sold",2500000,"EPL","13/14"
"Kieran Richardson","Pre-Season","Midfielder","England","Sunderland","Fulham","Sold",2500000,"EPL","12/13"
"Moussa Sissoko","Mid-Season",NA,"France","Toulouse","Newcastle","Sold",2500000,"EPL","12/13"
"Park Ji-Sung","Pre-Season","Midfielder","South Korea","Manchester United","QPR","Sold",2500000,"EPL","12/13"
"Maya Yoshida","Pre-Season","Defender","Japan","VVV Venlo","Southampton","Sold",2500000,"EPL","12/13"
"Michu","Pre-Season","Midfielder","Spain","Rayo Vallecano","Swansea City","Sold",2500000,"EPL","12/13"
"Jose Manuel Flores","Pre-Season","Defender","Spain","Genoa","Swansea City","Sold",2500000,"EPL","12/13"
"Benni McCarthy","Mid-Season",NA,"South Africa","Blackburn","West Ham","Sold",2500000,"EPL","09/10"
"Goran Pandev","Pre-Season","Attacker","FYR Macedonia","Napoli","Galatasaray","Sold",2400000,"ROE","14/15"
"Joel Obi","Pre-Season","Midfielder","Nigeria","Inter Milan","Torino","Sold",2400000,"Serie A","15/16"
"Iván Alonso","Mid-Season",NA,NA,"Real Murcia","Espanyol","Sold",2400000,"La Liga","08/09"
"Rob Holding","Pre-Season","Defender","England","Bolton","Arsenal","Sold",2400000,"EPL","16/17"
"Marc Wilson","Pre-Season","Defender","Rep. of Ireland","Stoke","Bournemouth","Sold",2400000,"EPL","16/17"
"Fabio Da Silva","Pre-Season","Defender","Brazil","Cardiff","Middlesbrough","Sold",2400000,"EPL","16/17"
"Magnus Eikrem","Mid-Season",NA,"Norway","Heerenveen","Cardiff","Sold",2400000,"EPL","13/14"
"Yacouba Sylla","Mid-Season",NA,"France","Clermont","Aston Villa","Sold",2400000,"EPL","12/13"
"Danny Wilson","Pre-Season","Defender","Scotland","Rangers","Liverpool","Sold",2400000,"EPL","10/11"
"Blerim Dzemaili","Pre-Season","Midfielder","Switzerland","Napoli","Galatasaray","Sold",2350000,"ROE","14/15"
"Douglas dos Santos","Pre-Season","Defender","Brazil","Nautico","Granada","Sold",2350000,"La Liga","13/14"
"Emanuel Pogatetz","Pre-Season","Defender","Austria","Hannover","Wolfsburg","Sold",2300000,"Bundesliga","12/13"
"Pietro Iemello","Pre-Season","Attacker","Italy","Spezia","Sassuolo","Sold",2300000,"Serie A","16/17"
"Antonino Ragusa","Pre-Season","Midfielder","Italy","Cesena","Sassuolo","Sold",2300000,"Serie A","16/17"
"Diego Laxalt","Pre-Season","Midfielder","Uruguay","Defensor Sporting","Inter Milan","Sold",2300000,"Serie A","13/14"
"Riza Durmisi","Pre-Season","Defender","Denmark","Brondby","Real Betis","Sold",2300000,"La Liga","16/17"
"Diego Buonanotte","Mid-Season","Midfielder","Argentina","Malaga","Granada","Sold",2300000,"La Liga","12/13"
"Javier Camunas","Pre-Season","Midfielder","Spain","Osasuna","Villarreal","Sold",2300000,"La Liga","11/12"
"Simon Vukcevic","Pre-Season","Midfielder","Montenegro","Sporting Lisbon","Blackburn","Sold",2300000,"EPL","11/12"
"Wayne Routledge","Pre-Season","Midfielder","England","Newcastle","Swansea City","Sold",2300000,"EPL","11/12"
"Pascal Chimbonda","Pre-Season",NA,NA,"Tottenham","Blackburn","Sold",2300000,"EPL","09/10"
"Kamil Ghilas","Pre-Season",NA,NA,"Celta Vigo","Hull City","Sold",2300000,"EPL","09/10"
"Ahmed Al-Muhammadi","Mid-Season",NA,"Egypt","ENPPI","Sunderland","Sold",2300000,"EPL","09/10"
"Andre Hahn","Pre-Season","Midfielder","Germany","Augsburg","Bor. Mgladbach","Sold",2250000,"Bundesliga","14/15"
"Matt Grimes","Mid-Season",NA,"England","Exeter","Swansea","Sold",2250000,"EPL","14/15"
"Edson Mexer","Pre-Season","Defender","Mozambique","Nacional","Rennes","Sold",2200000,"ROE","14/15"
"Borja Lopez","Pre-Season","Defender","Spain","Sporting Gijon","Monaco","Sold",2200000,"ROE","13/14"
"Milos Jojic","Mid-Season","Midfielder","Serbia","Partizan Belgrade","Bor. Dortmund","Sold",2200000,"Bundesliga","13/14"
"Felipe Martins","Pre-Season","Defender","Brazil","Standard Liege","Hannover","Sold",2200000,"Bundesliga","12/13"
"Alessandro Diamanti","Pre-Season","Attacker","Italy","West Ham","Brescia","Sold",2200000,"Serie A","10/11"
"Gabriel Mercado","Pre-Season","Defender","Argentina","River Plate","Sevilla","Sold",2200000,"La Liga","16/17"
"Alen Halilovic","Pre-Season","Midfielder","Croatia","Dinamo Zagreb","Barcelona","Sold",2200000,"La Liga","14/15"
"Henok Goitom","Pre-Season",NA,NA,"Real Murcia","Almeria","Sold",2200000,"La Liga","09/10"
"Ayoze Perez","Pre-Season","Attacker","Spain","Tenerife","Newcastle","Sold",2200000,"EPL","14/15"
"Anthony Pilkington","Pre-Season","Midfielder","England","Huddersfield","Norwich","Sold",2200000,"EPL","11/12"
"Jose Rodriguez","Pre-Season","Midfielder","Spain","Galatasaray","Mainz","Sold",2150000,"Bundesliga","16/17"
"Nadir Ciftci","Pre-Season","Attacker","Turkey","Dundee Utd","Cetlic","Sold",2100000,"ROE","15/16"
"Stuart Armstrong","Mid-Season","Midfielder","Scotland","Dundee Utd","Celtic","Sold",2100000,"ROE","14/15"
"Oscar Trejo","Pre-Season","Attacker","Argentina","Sporting Gijon","Toulouse","Sold",2100000,"ROE","13/14"
"Kevin Grosskreutz","Mid-Season","Midfielder","Germany","Galatasaray","Stuttgart","Sold",2100000,"Bundesliga","15/16"
"Mauro Zarate","Mid-Season","Attacker","Argentina","West Ham","Fiorentina","Sold",2100000,"Serie A","15/16"
"James McClean","Pre-Season","Midfielder","Ireland","Wigan","West Brom","Sold",2100000,"EPL","15/16"
"Jason Puncheon","Mid-Season",NA,"England","Southampton","Crystal Palace","Sold",2100000,"EPL","13/14"
"L. Grimi","Pre-Season",NA,NA,"R C Avellaneda","AC Milan","Sold",2000000,"Serie A","07/08"
"R. Matusiak","Pre-Season",NA,NA,"Belchatow","Palermo","Sold",2000000,"Serie A","07/08"
"T. Motta","Pre-Season",NA,NA,"Barcelona","Atletico Madrid","Sold",2000000,"La Liga","07/08"
"Zdravko Kuzmanovic","Pre-Season","Midfielder","Serbia","Inter Milan","Basel","Sold",2000000,"ROE","15/16"
"Alexis Delgado","Mid-Season","Defender","Spain","Getafe","Besiktas","Sold",2000000,"ROE","15/16"
"Dedryck Boyata","Pre-Season","Defender","Belgium","Manchester City","Celtic","Sold",2000000,"ROE","15/16"
"Erik Sviatchenko","Mid-Season","Defender","Denmark","Midtjylland","Celtic","Sold",2000000,"ROE","15/16"
"Martin Linnes","Mid-Season","Defender","Norway","Molde","Galatasaray","Sold",2000000,"ROE","15/16"
"Nolan Roux","Pre-Season","Attacker","France","Lille","Saint Etienne","Sold",2000000,"ROE","15/16"
"Naldo","Pre-Season","Defender","Brazil","Udinese","Sporting Lisbon","Sold",2000000,"ROE","15/16"
"Vukasin Jovanovic","Mid-Season","Defender","Serbia","Red Star","Zenit","Sold",2000000,"ROE","15/16"
"Dante","Pre-Season","Defender","Brazil","Wolfsburg","Nice","Sold",2000000,"ROE","16/17"
"Dalbert Henrique","Pre-Season","Defender","Brazil","Vitoria Guimaraes","Nice","Sold",2000000,"ROE","16/17"
"Ramy Bensebaini","Pre-Season","Defender","Algeria","Paradou AC","Rennes","Sold",2000000,"ROE","16/17"
"Radosav Petrovic","Pre-Season","Midfielder","Serbia","Dynamo Kyiv","Sporting CP","Sold",2000000,"ROE","16/17"
"Nick Viergever","Pre-Season","Defender","Netherlands","AZ Alkmaar","Ajax","Sold",2000000,"ROE","14/15"
"Koray Gunter","Mid-Season","Defender","Germany","Bor. Dortmund","Galatasaray","Sold",2000000,"ROE","13/14"
"Simon Kjaer","Pre-Season","Defender","Denmark","Wolfsburg","Lille","Sold",2000000,"ROE","13/14"
"Henri Bedimo","Pre-Season","Defender","Cameroon","Montpellier","Lyon","Sold",2000000,"ROE","13/14"
"Anders Konradsen","Mid-Season","Midfielder","Norway","Stromsgodset","Rennes","Sold",2000000,"ROE","12/13"
"Romain Alessandrini","Pre-Season","Midfielder","France","Clermont","Rennes","Sold",2000000,"ROE","12/13"
"Manuel Fernandes","Pre-Season","Midfielder","Portugal","Valencia","Besiktas","Sold",2000000,"ROE","11/12"
"Hugo Almeida","Mid-Season","Attacker","Portugal","Werder Bremen","Besiktas","Sold",2000000,"ROE","10/11"
"Daryl Murphy","Pre-Season","Attacker","Ireland","Sunderland","Celtic","Sold",2000000,"ROE","10/11"
"Anthony Annan","Mid-Season","Midfielder","Ghana","Rosenborg","Schalke","Sold",2000000,"ROE","10/11"
"Arne Friedrich","Pre-Season","Defender","Germany","Hertha Berlin","Wolfsburg","Sold",2000000,"ROE","10/11"
"Jos Hooiveld","Mid-Season","Defender","Netherlands","AIK","Glasgow Celtic","Sold",2000000,"ROE","09/10"
"Charlie Davies","Pre-Season",NA,NA,"Hammarby","Sochaux","Sold",2000000,"ROE","09/10"
"Lukas Hradecky","Pre-Season","Goalkeeper","Finland","Brondby","Eint. Frankfurt","Sold",2000000,"Bundesliga","15/16"
"Florent Hadergjonaj","Pre-Season","Defender","Switzerland","Young Boys","Ingolstadt","Sold",2000000,"Bundesliga","16/17"
"Janik Haberer","Pre-Season","Attacker","Germany","Hoffenheim","SC Freiburg","Sold",2000000,"Bundesliga","16/17"
"Anto Grgic","Pre-Season","Midfielder","Switzerland","Zurich","Stuttgart","Sold",2000000,"Bundesliga","16/17"
"Nikola Djurdjic","Pre-Season","Attacker","Serbia","Fortuna Dusseldorf","Augsburg","Sold",2000000,"Bundesliga","14/15"
"Pirmin Schwegler","Pre-Season","Defender","Switzerland","Eint. Frankfurt","Hoffenheim","Sold",2000000,"Bundesliga","14/15"
"Dani Schahin","Pre-Season","Attacker","Germany","Fortuna Dusseldorf","Mainz","Sold",2000000,"Bundesliga","13/14"
"Ludovic Obraniak","Mid-Season","Midfielder","Poland","Bordeaux","Werder Bremen","Sold",2000000,"Bundesliga","13/14"
"Theodor Gebre Selassie","Pre-Season","Defender","Czech Republic","Slovan","Werder Bremen","Sold",2000000,"Bundesliga","12/13"
"Matheus Perreira","Pre-Season","Midfielder","Brazil","Corinthians","Empoli","Sold",2000000,"Serie A","16/17"
"Ianis Hagi","Pre-Season","Attacker","Romania","Viitorul","Fiorentina","Sold",2000000,"Serie A","16/17"
"Moritz Leitner","Pre-Season","Midfielder","Germany","Bor. Dortmund","Lazio","Sold",2000000,"Serie A","16/17"
"Luca Rossettini","Pre-Season","Defender","Italy","Bologna","Torino","Sold",2000000,"Serie A","16/17"
"Marco D Ambrosio","Pre-Season","Midfielder","Italy","Roma","Atalanta","Sold",2000000,"Serie A","14/15"
"Godfred Donsah","Pre-Season","Midfielder","Ghana","Palermo","Cagliari","Sold",2000000,"Serie A","14/15"
"Zdravko Kuzmanovic","Mid-Season","Midfielder","Serbia","Stuttgart","Inter Milan","Sold",2000000,"Serie A","12/13"
"Thomas Heurtaux","Pre-Season","Defender","France","Caen","Udinese","Sold",2000000,"Serie A","12/13"
"Mathias Ranegie","Pre-Season","Attacker","Sweden","Malmo","Udinese","Sold",2000000,"Serie A","12/13"
"Andreas Granqvist","Pre-Season","Defender","Sweden","FC Groningen","Genoa","Sold",2000000,"Serie A","11/12"
"Artur Boruc","Pre-Season","Goalkeeper","Poland","Celtic","Fiorentina","Sold",2000000,"Serie A","10/11"
"Cristiano Zanetti","Pre-Season",NA,NA,"Juventus","Fiorentina","Sold",2000000,"Serie A","09/10"
"Nicolae Dica","Pre-Season",NA,NA,"Steaua Bucharest","Catania","Sold",2000000,"Serie A","08/09"
"Deyverson","Pre-Season","Attacker","Brazil","Belenenses","Levante","Sold",2000000,"La Liga","15/16"
"Joaquin Sanchez","Pre-Season","Midfielder","Spain","Fiorentina","Real Betis","Sold",2000000,"La Liga","15/16"
"Srdjan Babic","Pre-Season","Defender","Serbia","Vojvodina","Real Sociedad","Sold",2000000,"La Liga","15/16"
"Aleksandar Katai","Pre-Season","Midfielder","Serbia","Red Star","Alaves","Sold",2000000,"La Liga","16/17"
"Lucas Orban","Pre-Season","Defender","Argentina","Bordeaux","Valencia","Sold",2000000,"La Liga","14/15"
